id,ace_floor_ucr__c,ace_gold_commission__c,ace_silver_commission__c,base_tier__c,basic_delivery_fee__c,commission_targets_refresh__c,formstack_pricing_tier__c,formstack_service_fee__c,jack_floor_ucr__c,jack_gold_commission__c,jack_silver_commission__c,joker_floor_ucr__c,joker_gold_commission__c,joker_silver_commission__c,king_floor_ucr__c,king_gold_commission__c,king_silver_commission__c,name,ownerid,partner_service_fee__c,premium_delivery_fee__c,premium_tier__c,priority_launch_market__c,queen_floor_ucr__c,queen_gold_commission__c,queen_silver_commission__c,region__c,service_fee__c,submarket_avg_subtotal__c,submarket_id18__c,submarket_id__c,tier_2_ace__c,tier_2_jack__c,tier_2_joker__c,tier_2_king__c,tier_2_n_a__c,tier_2_queen__c,tier_3_ace__c,tier_3_jack__c,tier_3_joker__c,tier_3_king__c,tier_3_n_a__c,tier_3_queen__c,tier_4_ace__c,tier_4_jack__c,tier_4_joker__c,tier_4_king__c,tier_4_n_a__c,tier_4_queen__c,tier_5_ace__c,tier_5_jack__c,tier_5_joker__c,tier_5_king__c,tier_5_n_a__c,tier_5_queen__c,unranked_floor_ucr__c,unranked_gold_commission__c,unranked_silver_commission__c
a811a000000TPJJAA4,4.4,28,21.43,4,,,,,5.25,32,28,5.25,32,28,5.25,29,22.97,CA - East LA,0051a000002VLgZAAW,,,5,false,5.25,30,27.82,SOCAL,11,,a811a000000TPJJAA4,12,,,,,,,,,,,,,,,,,,,,,,,,,5.25,32,28
a811a000000TPGlAAO,4.4,28,21.51,4,2.99,,Tier 5,10,5.25,32,28,5.25,32,28,5.25,29,23.51,CA - Inland Empire,0051a000002V3Z6AAK,10,1.99,5,false,5.25,30,25.51,SOCAL,11,19.34,a811a000000TPGlAAO,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.94,4.99,4.99,4.34,4.99,4.99,5.25,32,28
a811a000000TPGnAAO,4.4,28,21.94,4,3.99,,Tier 5,10,5.25,32,28,5.25,32,28,5.25,29,23.94,CA - San Diego,0051a000002V3Z6AAK,10,1.99,5,false,5.25,30,25.94,SOCAL,11,24.09,a811a000000TPGnAAO,16,0,0,0,0,0,0,4.99,6.32,6.32,5.49,6.32,6.32,0,0,0,0,0,0,5.83,7.37,7.37,6.41,7.37,7.37,5.25,32,28
a811a000000TPHLAA4,4.4,28,22.71,4,2.99,,Tier 5,10,5.25,32,27,5.25,32,28,5.25,29,24.71,HI - Honolulu,0051a000002V3Z6AAK,10,1.99,5,false,5.25,30,25,SOCAL,11,18.8,a811a000000TPHLAA4,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.38,4.28,4.28,3.72,4.28,4.28,5.25,32,28
a811a000000TPGMAA4,4.4,28,20.82,4,3.99,,Tier 5,10,5.25,32,27.82,5.25,32,28,5.25,29,22.82,CA - Los Angeles,0051a000002V3Z6AAK,10,1.99,5,false,5.25,30,25,SOCAL,11,27.23,a811a000000TPGMAA4,1,0,0,0,0,0,0,5.55,7.03,7.03,6.11,7.03,7.03,0,0,0,0,0,0,6.48,8.2,8.2,7.13,8.2,8.2,5.25,32,28
a811a000000TPIBAA4,4.4,28,21.38,4,2.99,,Tier 5,10,5.25,32,27,5.25,32,28,5.25,29,23.38,CA - Central Coast,0051a000002V3Z6AAK,10,1.99,5,false,5.25,30,25,SOCAL,11,21.01,a811a000000TPIBAA4,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.484566049,5.672976052,5.672976052,4.933022654,5.672976052,5.672976052,5.25,32,28
a811a000000TPICAA4,4.4,28,23.25,4,2.99,,Tier 5,10,5.25,32,28,5.25,32,28,5.25,29,25,CA - Bakersfield,0051a000002V3Z6AAK,10,1.99,5,false,5.25,30,26.16,SOCAL,11,18.8,a811a000000TPICAA4,233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.381822595,4.278005582,4.278005582,3.720004854,4.278005582,4.278005582,5.25,32,28
a811a000000TPGZAA4,4.4,28,21.4,4,3.99,,Tier 5,10,5.25,32,28,5.25,32,28,5.25,29,23.4,CA - LA Valley,0051a000002V3Z6AAK,10,1.99,5,false,5.25,30,25.4,SOCAL,11,26.51,a811a000000TPGZAA4,11,0,0,0,0,0,0,5.44,6.89,6.89,5.99,6.89,6.89,0,0,0,0,0,0,6.35,8.03,8.03,6.99,8.03,8.03,5.25,32,28
a811a000000TPGfAAO,4.4,28,21.41,4,3.99,,Tier 5,10,5.25,32,28,5.25,32,28,5.25,29,23.41,CA - Orange County,0051a000002V3Z6AAK,10,1.99,5,false,5.25,30,25.41,SOCAL,11,25.79,a811a000000TPGfAAO,3,0,0,0,0,0,0,5.35,6.77,6.77,5.88,6.77,6.77,0,0,0,0,0,0,6.24,7.89,7.89,6.86,7.89,7.89,5.25,32,28
a812L0000008SGUQA2,4.4,28,23.6,4,2.99,,,,5.25,32,26,5.25,32,26,5.25,29,24.6,CA - Imperial Valley,0051a000002VLgZAAW,10,1.99,5,false,5.25,30,26,SOCAL,11,18.8,a812L0000008SGUQA2,908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.38,4.28,4.28,3.72,4.28,4.28,5.25,32,26
